"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";
"C1";"4.7u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C2";"4.7u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C3";"4.7u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C4";"4.7u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C5";"4.7u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";
"D2";"VS-10BQ015-M3_5BT";"VS-10BQ015-M3_5BT";"DIOM5436X244N";"VS-10BQ015-M3/5BT Vishay SMT Schottky Diode, 15V 1A, 2-Pin DO-214AA (SMB)";"VS-10BQ015-M3/5BT Vishay SMT Schottky Diode, 15V 1A, 2-Pin DO-214AA (SMB)";"2.44mm";"Vishay";"VS-10BQ015-M3/5BT";"78-VS-10BQ015-M35BT";"https://www.mouser.com/Search/Refine.aspx?Keyword=78-VS-10BQ015-M35BT";
"IC1";"MCP73831T-2ACI_OT";"MCP73831T-2ACI_OT";"SOT95P270X145-5N";"Li-Ion Charge Controller 4.2V SOT23-5";"Li-Ion Charge Controller 4.2V SOT23-5";"1.45mm";"Microchip";"MCP73831T-2ACI/OT";"579-MCP73831T-2ACIOT";"https://www.mouser.com/Search/Refine.aspx?Keyword=579-MCP73831T-2ACIOT";
"JP1";"";"PINHD-1X04_2.54-SMD";"1X04SMD";"PIN HEADER";"";"";"";"";"";"";
"JP2";"";"PINHD-1X04_2.54-SMD";"1X04SMD";"PIN HEADER";"";"";"";"";"";"";
"L1";"SRN2512-2R2M";"SRN2512-2R2M";"INDPM2622X120N";"Bourns SRN2512 Series Shielded Wire-wound SMD Inductor with a Ferrite Core, 2.2 uH +/-20% 2.3A Idc";"Bourns SRN2512 Series Shielded Wire-wound SMD Inductor with a Ferrite Core, 2.2 uH +/-20% 2.3A Idc";"1.2mm";"Bourns";"SRN2512-2R2M";"652-SRN2512-2R2M";"https://www.mouser.com/Search/Refine.aspx?Keyword=652-SRN2512-2R2M";
"LED1";"GREEN";"LEDCHIPLED_1206";"CHIPLED_1206";"LED";"";"";"";"";"";"";
"R1";"100k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";
"R2";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";
"R3";"100";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";
"R4";"402k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";
"R5";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";
"S1";"";"255SB";"255SB";"SLIDING SWITCH";"";"";"";"";"";"";
"U$1";"BAT_FLAT_PAD";"BAT_FLAT_PAD";"BATTERY_FLAT_PAD";"";"";"";"";"";"";"";
"U$2";"TLV62568DRLT";"TLV62568DRLT";"SOT563";"";"";"";"";"";"";"";
"U$3";"STM32_NUCLEO-68_WB";"STM32_NUCLEO-68_WB";"STM32_NUCLEO-68_FOOTPRINT";"";"";"";"";"";"";"";
"U$4";"";"1-2178711-2";"1-2178712-0";"";"";"";"";"";"";"";
"U$5";"";"74AHC126D,118";"SOIC127P600X175-14N";"";"";"";"";"";"";"";
